Category,Abbreviation,Titel,Coverage: Temporal,Coverage: Spatial,Timeliness,Accuracy,Consistency,Data Origin,Source,Source dataset Identifier,Publication,Rights,Source link,Related Sources,Documentaion Contributor,Documentation Date,Version
Weather & Climate,meteo_dtr,Diurnal Temporal Range,,,,,,,Meteostat,,,,https://dev.meteostat.net/python/stations.html#example,None,KrN,02.05.2022,
Weather & Climate,meteo_season,Rainy season & Dry season (seasonality),,,,,,,Meteostat,,,,https://dev.meteostat.net/python/stations.html#example,None,KrN,02.05.2022,
Weather & Climate,meteo_extreme,Extreme events (heavy rainfall & drought),,,,,,,Meteostat,,,,https://dev.meteostat.net/python/stations.html#example,None,KrN,02.05.2022,
Enviromental ,rcmrd_elev,Elevation,,,2018,No,Yes,The Shuttle Radar Topography Mission,RCMRD,None,No,Open Data Commons Open Database License (ODbL),https://opendata.rcmrd.org/datasets/tanzania-srtm-dem-30-meters/explore?location=-6.645890%2C36.133316%2C6.85,None,KrN,02.05.2022,
Enviromental ,copernicus_crop,Proportion Cropland,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939038,https://doi.org/10.3390/rs12061044,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Enviromental ,copernicus_for,Proportion Forest,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939039,https://doi.org/10.3390/rs12061045,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Enviromental ,copernicus_schrub,Proportion Shrubland,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939040,https://doi.org/10.3390/rs12061046,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Enviromental ,copernicus_built,Proportion Built-up,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939041,https://doi.org/10.3390/rs12061047,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Enviromental ,copernicus_water,Proportion permanent water bodies,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939042,https://doi.org/10.3390/rs12061048,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Enviromental ,copernicus_wet,Proportion permanent herbaceous wetland,,,2019,No,Yes,Remote Sensing,Copernicus Land Cover,10.5281/zenodo.3939043,https://doi.org/10.3390/rs12061049,Attribution 4.0 International (CC BY 4.0),https://zenodo.org/record/3939038#.YkLn7y8RrBI,None,KrN,02.05.2022,
Demographic,worldpop_mob,Population mobility & migration,,,2016,No,Yes,Unkown,Worldpop,None,None,Attribution 4.0 International (CC BY 4.0),https://www.worldpop.org/geodata/summary?id=1281,None,KrN,02.05.2022,
Infrastructure,thfr_disp,Dispensery Density,,,2022,No,Unknown,Reporting,Tanzania Health Facility Register,None,None,Unkown,https://hfrportal.moh.go.tz/index.php?r=facilities/homeAdvancedSearch,healthsites.io,KrN,02.05.2022,
Infrastructure,thfr_hecenter,Health Center Density ,,,2022,No,Unknown,Reporting,Tanzania Health Facility Register,None,None,Unkown,https://hfrportal.moh.go.tz/index.php?r=facilities/homeAdvancedSearch,healthsites.io,KrN,02.05.2022,
Infrastructure,thfr_clinic,Clinic Density,,,2022,No,Unknown,Reporting,Tanzania Health Facility Register,None,None,Unkown,https://hfrportal.moh.go.tz/index.php?r=facilities/homeAdvancedSearch,healthsites.io,KrN,02.05.2022,
Infrastructure,thfr_hopsital,Hospital Density,,,2022,No,Unknown,Reporting,Tanzania Health Facility Register,None,None,Unkown,https://hfrportal.moh.go.tz/index.php?r=facilities/homeAdvancedSearch,healthsites.io,KrN,02.05.2022,
Infrastructure,thfr_lab,Health Lab Density,,,2022,No,Unknown,Reporting,Tanzania Health Facility Register,None,None,Unkown,https://hfrportal.moh.go.tz/index.php?r=facilities/homeAdvancedSearch,healthsites.io,KrN,02.05.2022,
Demographic,worldpop_sexage,Sex and age structure,,,,No,Yes,Model-based,Worldpop data ,https://dx.doi.org/10.1038/sdata.2017.89,https://doi.org/10.1038/sdata.2017.89,Attribution 4.0 International (CC BY 4.0),https://www.worldpop.org/geodata/summary?id=50564,None,KrN,02.05.2022,
Infrastructure,statcompiler_electricity,Electricity (mHealth),,,,Unkown,No,Reporting,DHS Program,HC_ELEC_P_ELC,None,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_internet,Internet usage (mHealth),,,,Unkown,No,Reporting,DHS Program,"CO_INUS_W_U12, CO_INUS_M_U12",None,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_cellphone,Cellphone usage,,,,Unkown,No,Reporting,DHS Program,"CO_MOBB_W_MOB , CO_MOBB_M_MOB",None,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Demographic,statcompiler_education,Education level,,,,Unkown,No,Reporting,DHS Program,"ED_EDUC_W_MYR, ED_EDUC_M_MYR",None,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Demographic,unkown_income,Income,,,,Unkown,No,Reporting,DHS Program,,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_occupation,Occupational status,,,,Unkown,No,Reporting,DHS Program,"EM_OCCP_W_XXX, EM_OCCP_M_XXX",,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_cleanwater,Access to clean water,,,,Unkown,No,Reporting,DHS Program,WS_SRCE_H_IMP,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_drinkwater,Source of Drinking water,,,,Unkown,No,Reporting,DHS Program,WS_TLET_H_IMP,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_sanitation,Sanitation,,,,Unkown,No,Reporting,DHS Program,,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,statcompiler_sewage,Sewage system,,,,Unkown,No,Reporting,DHS Program,,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,unkown_garbage,Garbage collection,,,,Unkown,No,Reporting,DHS Program,,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Infrastructure,unkown_housing,Housing density,,,,Unkown,No,Reporting,DHS Program,,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Health,statcompiler_mosnet,Mosquito net implementation (bed net),,,,Unkown,No,Reporting,DHS Program,ML_NETP_H_MOS,,https://dhsprogram.com/data/terms-of-use.cfm,https://www.statcompiler.com/en/,None,KrN,02.05.2022,
Health,unkown_vacci,Vaccination coverage,,,,,,,,,,,,,KrN,02.05.2022,
Enviromental ,shapefile_area,Area,,,,,,,,,,,,,,,
